identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
01004,22.3606195140392,-102.29703802669,2025-01-01,11.51,46.88,0.0
01004,22.3606195140392,-102.29703802669,2025-01-02,12.46,65.58,0.0
01004,22.3606195140392,-102.29703802669,2025-01-03,11.16,68.25,0.0
01004,22.3606195140392,-102.29703802669,2025-01-04,12.34,61.72,0.0
01004,22.3606195140392,-102.29703802669,2025-01-05,12.46,51.07,0.0
01004,22.3606195140392,-102.29703802669,2025-01-06,11.93,47.57,0.0
01004,22.3606195140392,-102.29703802669,2025-01-07,10.46,52.78,0.16
01004,22.3606195140392,-102.29703802669,2025-01-08,9.04,88.0,8.9
01004,22.3606195140392,-102.29703802669,2025-01-09,11.24,83.16,0.15
01004,22.3606195140392,-102.29703802669,2025-01-10,11.45,82.25,1.89
01004,22.3606195140392,-102.29703802669,2025-01-11,11.7,79.6,2.64
01004,22.3606195140392,-102.29703802669,2025-01-12,11.04,71.82,0.02
01004,22.3606195140392,-102.29703802669,2025-01-13,11.76,61.19,0.0
01004,22.3606195140392,-102.29703802669,2025-01-14,13.12,52.91,0.01
01004,22.3606195140392,-102.29703802669,2025-01-15,14.31,49.29,0.0
01004,22.3606195140392,-102.29703802669,2025-01-16,13.17,54.03,0.0
01004,22.3606195140392,-102.29703802669,2025-01-17,13.69,48.25,0.0
01004,22.3606195140392,-102.29703802669,2025-01-18,12.39,54.16,0.0
01004,22.3606195140392,-102.29703802669,2025-01-19,12.64,48.04,0.0
01004,22.3606195140392,-102.29703802669,2025-01-20,11.71,44.45,0.0
01004,22.3606195140392,-102.29703802669,2025-01-21,10.13,46.29,0.0
01004,22.3606195140392,-102.29703802669,2025-01-22,9.36,46.94,0.0
01004,22.3606195140392,-102.29703802669,2025-01-23,11.32,40.26,0.0
01004,22.3606195140392,-102.29703802669,2025-01-24,9.36,50.23,0.0
01004,22.3606195140392,-102.29703802669,2025-01-25,12.6,52.9,0.0
01004,22.3606195140392,-102.29703802669,2025-01-26,13.43,51.61,0.0
01004,22.3606195140392,-102.29703802669,2025-01-27,14.0,53.42,0.0
01004,22.3606195140392,-102.29703802669,2025-01-28,15.45,46.31,0.0
01004,22.3606195140392,-102.29703802669,2025-01-29,14.29,39.77,0.0
01004,22.3606195140392,-102.29703802669,2025-01-30,13.26,44.7,0.0
01004,22.3606195140392,-102.29703802669,2025-01-31,12.85,46.15,0.0
01004,22.3606195140392,-102.29703802669,2025-02-01,12.36,42.99,0.0
01004,22.3606195140392,-102.29703802669,2025-02-02,13.44,33.7,0.0
01004,22.3606195140392,-102.29703802669,2025-02-03,14.43,32.47,0.0
01004,22.3606195140392,-102.29703802669,2025-02-04,13.81,46.61,0.0
01004,22.3606195140392,-102.29703802669,2025-02-05,14.83,41.58,0.0
01004,22.3606195140392,-102.29703802669,2025-02-06,14.64,35.79,0.0
01004,22.3606195140392,-102.29703802669,2025-02-07,15.1,52.09,0.0
01004,22.3606195140392,-102.29703802669,2025-02-08,16.58,34.1,0.0
01004,22.3606195140392,-102.29703802669,2025-02-09,16.92,27.28,0.0
01004,22.3606195140392,-102.29703802669,2025-02-10,16.43,34.89,0.0
01004,22.3606195140392,-102.29703802669,2025-02-11,15.08,41.99,0.0
01004,22.3606195140392,-102.29703802669,2025-02-12,13.12,46.84,0.0
01004,22.3606195140392,-102.29703802669,2025-02-13,13.71,46.66,0.0
01004,22.3606195140392,-102.29703802669,2025-02-14,14.78,60.24,0.0
01004,22.3606195140392,-102.29703802669,2025-02-15,13.86,36.81,0.0
