identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
03008,23.2764206906794,-109.753472435686,2025-01-01,20.94,52.0,0.0
03008,23.2764206906794,-109.753472435686,2025-01-02,20.98,52.93,0.0
03008,23.2764206906794,-109.753472435686,2025-01-03,21.32,54.48,0.0
03008,23.2764206906794,-109.753472435686,2025-01-04,20.89,56.27,0.0
03008,23.2764206906794,-109.753472435686,2025-01-05,20.92,59.19,0.0
03008,23.2764206906794,-109.753472435686,2025-01-06,20.9,57.53,0.0
03008,23.2764206906794,-109.753472435686,2025-01-07,19.7,64.65,0.0
03008,23.2764206906794,-109.753472435686,2025-01-08,18.89,72.8,0.12
03008,23.2764206906794,-109.753472435686,2025-01-09,17.32,55.13,0.02
03008,23.2764206906794,-109.753472435686,2025-01-10,16.18,58.13,0.0
03008,23.2764206906794,-109.753472435686,2025-01-11,16.68,52.58,0.0
03008,23.2764206906794,-109.753472435686,2025-01-12,17.64,56.43,0.0
03008,23.2764206906794,-109.753472435686,2025-01-13,17.9,62.1,0.0
03008,23.2764206906794,-109.753472435686,2025-01-14,17.63,59.17,0.0
03008,23.2764206906794,-109.753472435686,2025-01-15,18.04,58.76,0.0
03008,23.2764206906794,-109.753472435686,2025-01-16,19.06,56.69,0.0
03008,23.2764206906794,-109.753472435686,2025-01-17,19.91,62.16,0.0
03008,23.2764206906794,-109.753472435686,2025-01-18,18.2,65.18,0.0
03008,23.2764206906794,-109.753472435686,2025-01-19,17.72,59.44,0.0
03008,23.2764206906794,-109.753472435686,2025-01-20,18.43,54.48,0.0
03008,23.2764206906794,-109.753472435686,2025-01-21,18.33,58.17,0.0
03008,23.2764206906794,-109.753472435686,2025-01-22,17.86,57.5,0.0
03008,23.2764206906794,-109.753472435686,2025-01-23,18.1,60.6,0.0
03008,23.2764206906794,-109.753472435686,2025-01-24,19.43,55.12,0.0
03008,23.2764206906794,-109.753472435686,2025-01-25,20.12,51.62,0.0
03008,23.2764206906794,-109.753472435686,2025-01-26,21.8,61.61,0.0
03008,23.2764206906794,-109.753472435686,2025-01-27,19.93,67.99,0.0
03008,23.2764206906794,-109.753472435686,2025-01-28,18.89,57.82,0.0
03008,23.2764206906794,-109.753472435686,2025-01-29,16.66,61.34,0.0
03008,23.2764206906794,-109.753472435686,2025-01-30,16.41,57.37,0.0
03008,23.2764206906794,-109.753472435686,2025-01-31,17.05,59.21,0.0
03008,23.2764206906794,-109.753472435686,2025-02-01,17.94,55.77,0.0
03008,23.2764206906794,-109.753472435686,2025-02-02,19.99,38.8,0.0
03008,23.2764206906794,-109.753472435686,2025-02-03,20.41,42.94,0.0
03008,23.2764206906794,-109.753472435686,2025-02-04,18.78,55.76,0.0
03008,23.2764206906794,-109.753472435686,2025-02-05,18.8,59.27,0.0
03008,23.2764206906794,-109.753472435686,2025-02-06,19.76,59.49,0.0
03008,23.2764206906794,-109.753472435686,2025-02-07,20.53,54.32,0.0
03008,23.2764206906794,-109.753472435686,2025-02-08,21.57,47.86,0.0
03008,23.2764206906794,-109.753472435686,2025-02-09,21.7,47.56,0.0
03008,23.2764206906794,-109.753472435686,2025-02-10,21.69,52.69,0.0
03008,23.2764206906794,-109.753472435686,2025-02-11,21.19,59.32,0.0
03008,23.2764206906794,-109.753472435686,2025-02-12,18.59,53.29,0.0
03008,23.2764206906794,-109.753472435686,2025-02-13,19.45,56.31,0.0
03008,23.2764206906794,-109.753472435686,2025-02-14,20.53,54.63,0.0
03008,23.2764206906794,-109.753472435686,2025-02-15,20.41,57.57,0.0
03008,23.2764206906794,-109.753472435686,2025-02-16,20.29,53.13,0.0
03008,23.2764206906794,-109.753472435686,2025-02-17,20.65,47.67,0.0
03008,23.2764206906794,-109.753472435686,2025-02-18,21.36,46.28,0.0
03008,23.2764206906794,-109.753472435686,2025-02-19,22.05,46.4,0.0
03008,23.2764206906794,-109.753472435686,2025-02-20,21.86,40.49,0.0
03008,23.2764206906794,-109.753472435686,2025-02-21,22.15,43.15,0.0
03008,23.2764206906794,-109.753472435686,2025-02-22,21.36,48.1,0.0
03008,23.2764206906794,-109.753472435686,2025-02-23,21.32,40.33,0.0
03008,23.2764206906794,-109.753472435686,2025-02-24,21.66,34.38,0.0
03008,23.2764206906794,-109.753472435686,2025-02-25,22.45,37.86,0.0
03008,23.2764206906794,-109.753472435686,2025-02-26,21.85,48.92,0.0
03008,23.2764206906794,-109.753472435686,2025-02-27,23.01,41.98,0.0
03008,23.2764206906794,-109.753472435686,2025-02-28,22.85,40.68,0.0
03008,23.2764206906794,-109.753472435686,2025-03-01,21.76,48.51,0.0
03008,23.2764206906794,-109.753472435686,2025-03-02,22.43,48.28,0.0
03008,23.2764206906794,-109.753472435686,2025-03-03,21.62,47.16,0.0
03008,23.2764206906794,-109.753472435686,2025-03-04,19.35,48.95,0.0
03008,23.2764206906794,-109.753472435686,2025-03-05,20.11,46.53,0.0
03008,23.2764206906794,-109.753472435686,2025-03-06,20.16,55.22,0.0
03008,23.2764206906794,-109.753472435686,2025-03-07,19.58,54.61,0.0
03008,23.2764206906794,-109.753472435686,2025-03-08,17.05,62.16,0.0
03008,23.2764206906794,-109.753472435686,2025-03-09,19.42,51.85,0.0
03008,23.2764206906794,-109.753472435686,2025-03-10,20.07,41.87,0.0
03008,23.2764206906794,-109.753472435686,2025-03-11,20.38,53.6,0.0
03008,23.2764206906794,-109.753472435686,2025-03-12,20.64,60.64,0.0
03008,23.2764206906794,-109.753472435686,2025-03-13,20.61,58.89,0.0
03008,23.2764206906794,-109.753472435686,2025-03-14,19.37,62.25,0.0
03008,23.2764206906794,-109.753472435686,2025-03-15,18.93,60.04,0.0
03008,23.2764206906794,-109.753472435686,2025-03-16,20.66,53.78,0.0
03008,23.2764206906794,-109.753472435686,2025-03-17,22.45,36.55,0.0
03008,23.2764206906794,-109.753472435686,2025-03-18,21.96,47.97,0.0
03008,23.2764206906794,-109.753472435686,2025-03-19,20.96,45.78,0.0
03008,23.2764206906794,-109.753472435686,2025-03-20,21.6,42.43,0.0
03008,23.2764206906794,-109.753472435686,2025-03-21,22.75,32.88,0.0
03008,23.2764206906794,-109.753472435686,2025-03-22,21.93,38.51,0.0
03008,23.2764206906794,-109.753472435686,2025-03-23,22.77,42.94,0.0
03008,23.2764206906794,-109.753472435686,2025-03-24,23.05,45.93,0.0
03008,23.2764206906794,-109.753472435686,2025-03-25,23.91,40.22,0.0
03008,23.2764206906794,-109.753472435686,2025-03-26,23.76,46.47,0.0
03008,23.2764206906794,-109.753472435686,2025-03-27,21.92,54.83,0.0
03008,23.2764206906794,-109.753472435686,2025-03-28,22.23,54.08,0.0
03008,23.2764206906794,-109.753472435686,2025-03-29,22.57,49.45,0.0
03008,23.2764206906794,-109.753472435686,2025-03-30,22.58,48.83,0.0
03008,23.2764206906794,-109.753472435686,2025-03-31,24.46,38.83,0.0
03008,23.2764206906794,-109.753472435686,2025-04-01,24.66,39.21,0.0
03008,23.2764206906794,-109.753472435686,2025-04-02,21.37,47.9,0.0
03008,23.2764206906794,-109.753472435686,2025-04-03,19.35,53.1,0.0
03008,23.2764206906794,-109.753472435686,2025-04-04,17.03,53.03,0.0
03008,23.2764206906794,-109.753472435686,2025-04-05,18.49,51.35,0.0
03008,23.2764206906794,-109.753472435686,2025-04-06,20.05,47.85,0.0
03008,23.2764206906794,-109.753472435686,2025-04-07,22.21,45.0,0.0
03008,23.2764206906794,-109.753472435686,2025-04-08,23.52,36.33,0.0
03008,23.2764206906794,-109.753472435686,2025-04-09,24.27,32.69,0.0
03008,23.2764206906794,-109.753472435686,2025-04-10,25.26,35.5,0.0
03008,23.2764206906794,-109.753472435686,2025-04-11,26.53,30.72,0.0
03008,23.2764206906794,-109.753472435686,2025-04-12,25.59,38.32,0.0
03008,23.2764206906794,-109.753472435686,2025-04-13,25.78,35.61,0.0
03008,23.2764206906794,-109.753472435686,2025-04-14,26.27,36.67,0.0
03008,23.2764206906794,-109.753472435686,2025-04-15,26.16,44.19,0.0
03008,23.2764206906794,-109.753472435686,2025-04-16,25.5,45.56,0.0
03008,23.2764206906794,-109.753472435686,2025-04-17,25.69,46.81,0.0
03008,23.2764206906794,-109.753472435686,2025-04-18,23.77,50.9,0.0
03008,23.2764206906794,-109.753472435686,2025-04-19,22.71,52.86,0.0
03008,23.2764206906794,-109.753472435686,2025-04-20,22.96,51.21,0.0
03008,23.2764206906794,-109.753472435686,2025-04-21,21.79,47.71,0.0
03008,23.2764206906794,-109.753472435686,2025-04-22,21.31,52.87,0.0
03008,23.2764206906794,-109.753472435686,2025-04-23,21.66,53.78,0.0
03008,23.2764206906794,-109.753472435686,2025-04-24,22.12,54.77,0.0
03008,23.2764206906794,-109.753472435686,2025-04-25,22.28,51.23,0.0
03008,23.2764206906794,-109.753472435686,2025-04-26,23.37,45.54,0.0
03008,23.2764206906794,-109.753472435686,2025-04-27,24.07,48.67,0.0
03008,23.2764206906794,-109.753472435686,2025-04-28,24.71,46.09,0.0
03008,23.2764206906794,-109.753472435686,2025-04-29,23.57,45.93,0.0
