identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
04003,18.523747092002,-91.4828233393199,2025-01-01,26.04,81.05,4.02
04003,18.523747092002,-91.4828233393199,2025-01-02,24.25,86.83,3.88
04003,18.523747092002,-91.4828233393199,2025-01-03,25.0,77.79,1.18
04003,18.523747092002,-91.4828233393199,2025-01-04,24.35,71.31,0.04
04003,18.523747092002,-91.4828233393199,2025-01-05,24.02,76.86,0.0
04003,18.523747092002,-91.4828233393199,2025-01-06,25.54,79.15,0.27
04003,18.523747092002,-91.4828233393199,2025-01-07,25.38,78.73,0.76
04003,18.523747092002,-91.4828233393199,2025-01-08,25.02,71.55,0.09
04003,18.523747092002,-91.4828233393199,2025-01-09,24.56,70.53,0.02
04003,18.523747092002,-91.4828233393199,2025-01-10,25.56,75.6,0.21
04003,18.523747092002,-91.4828233393199,2025-01-11,24.08,85.33,9.77
04003,18.523747092002,-91.4828233393199,2025-01-12,25.08,76.48,0.26
04003,18.523747092002,-91.4828233393199,2025-01-13,26.1,80.29,3.9
04003,18.523747092002,-91.4828233393199,2025-01-14,26.48,78.6,5.82
04003,18.523747092002,-91.4828233393199,2025-01-15,26.17,76.42,1.48
04003,18.523747092002,-91.4828233393199,2025-01-16,25.4,77.72,0.95
04003,18.523747092002,-91.4828233393199,2025-01-17,25.86,74.11,0.21
04003,18.523747092002,-91.4828233393199,2025-01-18,25.47,71.98,0.01
04003,18.523747092002,-91.4828233393199,2025-01-19,25.39,79.08,0.37
04003,18.523747092002,-91.4828233393199,2025-01-20,25.63,76.93,0.56
04003,18.523747092002,-91.4828233393199,2025-01-21,25.41,79.77,3.7
04003,18.523747092002,-91.4828233393199,2025-01-22,21.5,78.34,5.15
04003,18.523747092002,-91.4828233393199,2025-01-23,22.42,74.19,0.28
04003,18.523747092002,-91.4828233393199,2025-01-24,22.84,75.58,1.33
04003,18.523747092002,-91.4828233393199,2025-01-25,23.36,69.22,0.03
04003,18.523747092002,-91.4828233393199,2025-01-26,23.09,71.87,0.0
04003,18.523747092002,-91.4828233393199,2025-01-27,24.55,77.06,1.67
04003,18.523747092002,-91.4828233393199,2025-01-28,25.9,77.53,0.66
04003,18.523747092002,-91.4828233393199,2025-01-29,26.71,72.46,0.16
04003,18.523747092002,-91.4828233393199,2025-01-30,27.66,72.54,0.01
04003,18.523747092002,-91.4828233393199,2025-01-31,27.71,77.17,1.34
04003,18.523747092002,-91.4828233393199,2025-02-01,27.13,79.17,5.4
04003,18.523747092002,-91.4828233393199,2025-02-02,26.19,79.04,5.41
04003,18.523747092002,-91.4828233393199,2025-02-03,26.18,75.75,1.08
04003,18.523747092002,-91.4828233393199,2025-02-04,26.56,71.65,0.08
04003,18.523747092002,-91.4828233393199,2025-02-05,26.49,74.47,0.99
04003,18.523747092002,-91.4828233393199,2025-02-06,27.27,71.4,0.12
04003,18.523747092002,-91.4828233393199,2025-02-07,27.03,67.07,0.01
04003,18.523747092002,-91.4828233393199,2025-02-08,26.62,68.7,0.0
