identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
05036,25.2217246900716,-102.924796998154,2025-01-01,14.73,24.58,0.0
05036,25.2217246900716,-102.924796998154,2025-01-02,14.73,36.81,0.0
05036,25.2217246900716,-102.924796998154,2025-01-03,15.35,38.81,0.0
05036,25.2217246900716,-102.924796998154,2025-01-04,17.79,43.36,0.0
05036,25.2217246900716,-102.924796998154,2025-01-05,17.21,34.52,0.0
05036,25.2217246900716,-102.924796998154,2025-01-06,12.98,35.6,0.0
05036,25.2217246900716,-102.924796998154,2025-01-07,14.05,33.58,0.0
05036,25.2217246900716,-102.924796998154,2025-01-08,12.33,45.41,0.0
05036,25.2217246900716,-102.924796998154,2025-01-09,15.42,60.65,0.02
05036,25.2217246900716,-102.924796998154,2025-01-10,6.8,43.2,0.12
05036,25.2217246900716,-102.924796998154,2025-01-11,9.01,54.15,0.45
05036,25.2217246900716,-102.924796998154,2025-01-12,11.89,48.91,0.0
05036,25.2217246900716,-102.924796998154,2025-01-13,11.02,39.9,0.0
05036,25.2217246900716,-102.924796998154,2025-01-14,11.16,49.72,0.0
05036,25.2217246900716,-102.924796998154,2025-01-15,13.07,50.63,0.0
05036,25.2217246900716,-102.924796998154,2025-01-16,15.43,42.73,0.0
05036,25.2217246900716,-102.924796998154,2025-01-17,17.86,36.42,0.0
05036,25.2217246900716,-102.924796998154,2025-01-18,15.99,34.95,0.0
05036,25.2217246900716,-102.924796998154,2025-01-19,11.41,29.46,0.0
05036,25.2217246900716,-102.924796998154,2025-01-20,11.31,25.33,0.0
05036,25.2217246900716,-102.924796998154,2025-01-21,2.13,46.47,0.0
05036,25.2217246900716,-102.924796998154,2025-01-22,7.06,33.2,0.0
05036,25.2217246900716,-102.924796998154,2025-01-23,9.5,25.36,0.0
05036,25.2217246900716,-102.924796998154,2025-01-24,8.97,27.22,0.0
05036,25.2217246900716,-102.924796998154,2025-01-25,16.63,37.21,0.0
05036,25.2217246900716,-102.924796998154,2025-01-26,17.68,41.97,0.0
05036,25.2217246900716,-102.924796998154,2025-01-27,16.81,39.75,0.0
05036,25.2217246900716,-102.924796998154,2025-01-28,17.73,28.18,0.0
05036,25.2217246900716,-102.924796998154,2025-01-29,18.94,28.44,0.0
05036,25.2217246900716,-102.924796998154,2025-01-30,16.31,24.76,0.0
05036,25.2217246900716,-102.924796998154,2025-01-31,12.27,13.98,0.0
05036,25.2217246900716,-102.924796998154,2025-02-01,13.96,19.66,0.0
05036,25.2217246900716,-102.924796998154,2025-02-02,15.7,20.3,0.0
05036,25.2217246900716,-102.924796998154,2025-02-03,16.67,10.97,0.0
05036,25.2217246900716,-102.924796998154,2025-02-04,17.35,17.48,0.0
05036,25.2217246900716,-102.924796998154,2025-02-05,17.98,23.62,0.0
05036,25.2217246900716,-102.924796998154,2025-02-06,18.71,21.08,0.0
05036,25.2217246900716,-102.924796998154,2025-02-07,18.99,26.86,0.0
05036,25.2217246900716,-102.924796998154,2025-02-08,19.15,19.8,0.0
05036,25.2217246900716,-102.924796998154,2025-02-09,19.24,16.85,0.0
05036,25.2217246900716,-102.924796998154,2025-02-10,19.64,18.94,0.0
05036,25.2217246900716,-102.924796998154,2025-02-11,19.84,31.6,0.0
05036,25.2217246900716,-102.924796998154,2025-02-12,18.55,30.14,0.0
05036,25.2217246900716,-102.924796998154,2025-02-13,16.1,33.41,0.0
05036,25.2217246900716,-102.924796998154,2025-02-14,18.21,22.62,0.0
05036,25.2217246900716,-102.924796998154,2025-02-15,18.98,20.39,0.0
05036,25.2217246900716,-102.924796998154,2025-02-16,15.86,24.59,0.0
05036,25.2217246900716,-102.924796998154,2025-02-17,18.71,21.48,0.0
05036,25.2217246900716,-102.924796998154,2025-02-18,18.74,22.37,0.0
05036,25.2217246900716,-102.924796998154,2025-02-19,15.68,26.67,0.0
05036,25.2217246900716,-102.924796998154,2025-02-20,12.47,39.89,0.0
05036,25.2217246900716,-102.924796998154,2025-02-21,16.68,28.75,0.0
05036,25.2217246900716,-102.924796998154,2025-02-22,17.85,23.33,0.0
05036,25.2217246900716,-102.924796998154,2025-02-23,15.54,20.46,0.0
05036,25.2217246900716,-102.924796998154,2025-02-24,16.31,11.86,0.0
05036,25.2217246900716,-102.924796998154,2025-02-25,18.71,6.62,0.0
05036,25.2217246900716,-102.924796998154,2025-02-26,19.29,16.25,0.0
05036,25.2217246900716,-102.924796998154,2025-02-27,18.24,27.8,0.0
05036,25.2217246900716,-102.924796998154,2025-02-28,17.6,54.76,0.0
05036,25.2217246900716,-102.924796998154,2025-03-01,19.48,27.88,0.0
05036,25.2217246900716,-102.924796998154,2025-03-02,22.46,18.31,0.0
05036,25.2217246900716,-102.924796998154,2025-03-03,22.73,16.67,0.0
05036,25.2217246900716,-102.924796998154,2025-03-04,18.19,11.02,0.0
05036,25.2217246900716,-102.924796998154,2025-03-05,17.68,6.38,0.0
05036,25.2217246900716,-102.924796998154,2025-03-06,20.58,10.04,0.0
05036,25.2217246900716,-102.924796998154,2025-03-07,21.32,15.99,0.0
05036,25.2217246900716,-102.924796998154,2025-03-08,19.01,12.46,0.0
05036,25.2217246900716,-102.924796998154,2025-03-09,13.07,19.75,0.0
05036,25.2217246900716,-102.924796998154,2025-03-10,15.25,14.17,0.0
05036,25.2217246900716,-102.924796998154,2025-03-11,18.56,10.64,0.0
05036,25.2217246900716,-102.924796998154,2025-03-12,19.88,15.84,0.0
05036,25.2217246900716,-102.924796998154,2025-03-13,19.85,14.29,0.0
05036,25.2217246900716,-102.924796998154,2025-03-14,19.88,15.36,0.0
05036,25.2217246900716,-102.924796998154,2025-03-15,17.73,16.56,0.0
05036,25.2217246900716,-102.924796998154,2025-03-16,15.24,17.9,0.0
05036,25.2217246900716,-102.924796998154,2025-03-17,19.55,14.14,0.0
05036,25.2217246900716,-102.924796998154,2025-03-18,21.89,15.19,0.0
05036,25.2217246900716,-102.924796998154,2025-03-19,16.51,18.46,0.0
05036,25.2217246900716,-102.924796998154,2025-03-20,16.42,17.08,0.0
05036,25.2217246900716,-102.924796998154,2025-03-21,17.96,16.08,0.0
05036,25.2217246900716,-102.924796998154,2025-03-22,20.01,13.96,0.0
05036,25.2217246900716,-102.924796998154,2025-03-23,20.35,11.04,0.0
05036,25.2217246900716,-102.924796998154,2025-03-24,21.59,16.43,0.0
05036,25.2217246900716,-102.924796998154,2025-03-25,21.98,45.62,0.13
05036,25.2217246900716,-102.924796998154,2025-03-26,22.51,40.68,0.14
05036,25.2217246900716,-102.924796998154,2025-03-27,21.14,33.12,0.04
05036,25.2217246900716,-102.924796998154,2025-03-28,20.12,22.8,0.0
05036,25.2217246900716,-102.924796998154,2025-03-29,21.86,16.13,0.0
05036,25.2217246900716,-102.924796998154,2025-03-30,21.14,14.92,0.0
05036,25.2217246900716,-102.924796998154,2025-03-31,22.34,16.14,0.0
05036,25.2217246900716,-102.924796998154,2025-04-01,23.63,13.41,0.0
05036,25.2217246900716,-102.924796998154,2025-04-02,23.61,18.69,0.0
05036,25.2217246900716,-102.924796998154,2025-04-03,22.63,22.24,0.0
05036,25.2217246900716,-102.924796998154,2025-04-04,21.05,22.08,0.0
05036,25.2217246900716,-102.924796998154,2025-04-05,20.09,31.03,0.0
05036,25.2217246900716,-102.924796998154,2025-04-06,11.74,38.56,0.0
05036,25.2217246900716,-102.924796998154,2025-04-07,12.69,23.03,0.0
05036,25.2217246900716,-102.924796998154,2025-04-08,16.03,12.39,0.0
05036,25.2217246900716,-102.924796998154,2025-04-09,18.94,8.55,0.0
05036,25.2217246900716,-102.924796998154,2025-04-10,20.73,9.53,0.0
05036,25.2217246900716,-102.924796998154,2025-04-11,21.77,16.93,0.0
05036,25.2217246900716,-102.924796998154,2025-04-12,21.69,18.39,0.0
05036,25.2217246900716,-102.924796998154,2025-04-13,23.02,13.87,0.0
05036,25.2217246900716,-102.924796998154,2025-04-14,23.92,13.05,0.0
05036,25.2217246900716,-102.924796998154,2025-04-15,23.67,16.22,0.0
05036,25.2217246900716,-102.924796998154,2025-04-16,25.45,17.78,0.0
05036,25.2217246900716,-102.924796998154,2025-04-17,25.62,19.8,0.0
05036,25.2217246900716,-102.924796998154,2025-04-18,26.38,16.59,0.0
05036,25.2217246900716,-102.924796998154,2025-04-19,25.06,15.82,0.0
05036,25.2217246900716,-102.924796998154,2025-04-20,21.29,20.52,0.0
05036,25.2217246900716,-102.924796998154,2025-04-21,23.48,31.39,0.0
05036,25.2217246900716,-102.924796998154,2025-04-22,24.67,26.54,0.0
05036,25.2217246900716,-102.924796998154,2025-04-23,23.56,15.04,0.0
05036,25.2217246900716,-102.924796998154,2025-04-24,22.3,16.65,0.0
05036,25.2217246900716,-102.924796998154,2025-04-25,25.27,18.31,0.0
05036,25.2217246900716,-102.924796998154,2025-04-26,25.82,27.51,0.04
05036,25.2217246900716,-102.924796998154,2025-04-27,26.37,38.38,1.01
05036,25.2217246900716,-102.924796998154,2025-04-28,26.35,36.04,0.72
05036,25.2217246900716,-102.924796998154,2025-04-29,25.65,30.72,0.27
05036,25.2217246900716,-102.924796998154,2025-04-30,25.07,21.73,0.01
