,identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
0,1001,21.8114071162715,-102.295866042726,2025-01-01,12.78,46.16,0.0
1,1001,21.8114071162715,-102.295866042726,2025-01-02,13.21,67.08,0.0
2,1001,21.8114071162715,-102.295866042726,2025-01-03,12.53,68.11,0.0
3,1001,21.8114071162715,-102.295866042726,2025-01-04,13.48,63.48,0.01
4,1001,21.8114071162715,-102.295866042726,2025-01-05,13.38,51.52,0.0
5,1001,21.8114071162715,-102.295866042726,2025-01-06,13.12,49.52,0.0
6,1001,21.8114071162715,-102.295866042726,2025-01-07,11.66,57.35,0.29
7,1001,21.8114071162715,-102.295866042726,2025-01-08,10.41,85.21,5.13
8,1001,21.8114071162715,-102.295866042726,2025-01-09,12.32,81.51,0.31
9,1001,21.8114071162715,-102.295866042726,2025-01-10,12.25,82.32,1.26
10,1001,21.8114071162715,-102.295866042726,2025-01-11,12.64,80.23,1.91
11,1001,21.8114071162715,-102.295866042726,2025-01-12,12.23,73.08,0.04
12,1001,21.8114071162715,-102.295866042726,2025-01-13,13.44,59.1,0.0
13,1001,21.8114071162715,-102.295866042726,2025-01-14,14.66,51.36,0.0
14,1001,21.8114071162715,-102.295866042726,2025-01-15,15.19,51.77,0.0
15,1001,21.8114071162715,-102.295866042726,2025-01-16,14.55,52.22,0.0
16,1001,21.8114071162715,-102.295866042726,2025-01-17,14.52,47.71,0.0
17,1001,21.8114071162715,-102.295866042726,2025-01-18,13.43,52.94,0.0
18,1001,21.8114071162715,-102.295866042726,2025-01-19,13.85,47.44,0.0
19,1001,21.8114071162715,-102.295866042726,2025-01-20,13.35,45.63,0.0
20,1001,21.8114071162715,-102.295866042726,2025-01-21,12.46,48.53,0.0
21,1001,21.8114071162715,-102.295866042726,2025-01-22,10.51,47.16,0.0
22,1001,21.8114071162715,-102.295866042726,2025-01-23,12.79,40.89,0.0
23,1001,21.8114071162715,-102.295866042726,2025-01-24,11.17,51.29,0.0
24,1001,21.8114071162715,-102.295866042726,2025-01-25,13.59,51.85,0.0
25,1001,21.8114071162715,-102.295866042726,2025-01-26,14.82,51.02,0.0
26,1001,21.8114071162715,-102.295866042726,2025-01-27,15.21,52.72,0.0
27,1001,21.8114071162715,-102.295866042726,2025-01-28,16.34,49.98,0.0
28,1001,21.8114071162715,-102.295866042726,2025-01-29,15.68,40.8,0.0
29,1001,21.8114071162715,-102.295866042726,2025-01-30,14.81,44.27,0.0
30,1001,21.8114071162715,-102.295866042726,2025-01-31,13.84,46.62,0.0
31,1001,21.8114071162715,-102.295866042726,2025-02-01,13.68,43.38,0.0
32,1001,21.8114071162715,-102.295866042726,2025-02-02,15.15,35.93,0.0
33,1001,21.8114071162715,-102.295866042726,2025-02-03,16.14,33.43,0.0
34,1001,21.8114071162715,-102.295866042726,2025-02-04,15.94,41.14,0.0
35,1001,21.8114071162715,-102.295866042726,2025-02-05,16.37,43.51,0.0
36,1001,21.8114071162715,-102.295866042726,2025-02-06,16.2,37.45,0.0
37,1001,21.8114071162715,-102.295866042726,2025-02-07,16.49,51.77,0.0
38,1001,21.8114071162715,-102.295866042726,2025-02-08,17.28,43.82,0.0
39,1001,21.8114071162715,-102.295866042726,2025-02-09,17.29,33.07,0.0
40,1001,21.8114071162715,-102.295866042726,2025-02-10,17.18,36.35,0.0
41,1001,21.8114071162715,-102.295866042726,2025-02-11,16.06,41.72,0.0
42,1001,21.8114071162715,-102.295866042726,2025-02-12,13.7,48.78,0.0
43,1001,21.8114071162715,-102.295866042726,2025-02-13,15.27,45.04,0.0
44,1001,21.8114071162715,-102.295866042726,2025-02-14,15.45,61.53,0.0
45,1001,21.8114071162715,-102.295866042726,2025-02-15,15.14,38.39,0.0
46,1001,21.8114071162715,-102.295866042726,2025-02-16,15.21,35.13,0.0
47,1001,21.8114071162715,-102.295866042726,2025-02-17,15.12,46.76,0.0
48,1001,21.8114071162715,-102.295866042726,2025-02-18,15.92,41.54,0.0
49,1001,21.8114071162715,-102.295866042726,2025-02-19,17.42,36.66,0.0
50,1001,21.8114071162715,-102.295866042726,2025-02-20,16.19,49.4,0.0
51,1001,21.8114071162715,-102.295866042726,2025-02-21,15.22,43.15,0.0
52,1001,21.8114071162715,-102.295866042726,2025-02-22,16.83,38.95,0.0
53,1001,21.8114071162715,-102.295866042726,2025-02-23,16.11,30.66,0.0
54,1001,21.8114071162715,-102.295866042726,2025-02-24,15.29,22.15,0.0
55,1001,21.8114071162715,-102.295866042726,2025-02-25,16.66,17.28,0.0
56,1001,21.8114071162715,-102.295866042726,2025-02-26,17.14,30.03,0.0
57,1001,21.8114071162715,-102.295866042726,2025-02-27,18.05,29.51,0.0
58,1001,21.8114071162715,-102.295866042726,2025-02-28,17.05,49.53,0.0
59,1001,21.8114071162715,-102.295866042726,2025-03-01,17.67,32.32,0.0
60,1001,21.8114071162715,-102.295866042726,2025-03-02,18.02,32.11,0.0
61,1001,21.8114071162715,-102.295866042726,2025-03-03,18.19,28.97,0.0
62,1001,21.8114071162715,-102.295866042726,2025-03-04,16.97,29.4,0.0
63,1001,21.8114071162715,-102.295866042726,2025-03-05,18.51,23.35,0.0
64,1001,21.8114071162715,-102.295866042726,2025-03-06,15.68,27.33,0.0
65,1001,21.8114071162715,-102.295866042726,2025-03-07,15.86,25.1,0.0
66,1001,21.8114071162715,-102.295866042726,2025-03-08,15.47,33.0,0.0
67,1001,21.8114071162715,-102.295866042726,2025-03-09,14.97,26.24,0.0
68,1001,21.8114071162715,-102.295866042726,2025-03-10,12.94,22.85,0.0
69,1001,21.8114071162715,-102.295866042726,2025-03-11,15.75,19.13,0.0
70,1001,21.8114071162715,-102.295866042726,2025-03-12,16.35,25.01,0.0
71,1001,21.8114071162715,-102.295866042726,2025-03-13,15.57,24.75,0.0
72,1001,21.8114071162715,-102.295866042726,2025-03-14,15.14,27.94,0.0
73,1001,21.8114071162715,-102.295866042726,2025-03-15,14.34,30.78,0.0
74,1001,21.8114071162715,-102.295866042726,2025-03-16,15.04,28.02,0.0
75,1001,21.8114071162715,-102.295866042726,2025-03-17,17.01,29.85,0.0
76,1001,21.8114071162715,-102.295866042726,2025-03-18,17.38,30.66,0.0
77,1001,21.8114071162715,-102.295866042726,2025-03-19,16.6,23.82,0.0
78,1001,21.8114071162715,-102.295866042726,2025-03-20,16.72,42.2,0.0
79,1001,21.8114071162715,-102.295866042726,2025-03-21,17.43,32.8,0.0
80,1001,21.8114071162715,-102.295866042726,2025-03-22,18.04,23.16,0.0
81,1001,21.8114071162715,-102.295866042726,2025-03-23,17.67,20.53,0.0
82,1001,21.8114071162715,-102.295866042726,2025-03-24,18.65,21.8,0.0
83,1001,21.8114071162715,-102.295866042726,2025-03-25,18.93,38.97,0.0
84,1001,21.8114071162715,-102.295866042726,2025-03-26,18.11,35.98,0.0
85,1001,21.8114071162715,-102.295866042726,2025-03-27,17.64,25.5,0.0
86,1001,21.8114071162715,-102.295866042726,2025-03-28,15.45,24.28,0.0
87,1001,21.8114071162715,-102.295866042726,2025-03-29,16.39,21.76,0.0
88,1001,21.8114071162715,-102.295866042726,2025-03-30,17.25,21.73,0.0
89,1001,21.8114071162715,-102.295866042726,2025-03-31,18.64,24.82,0.0
90,1001,21.8114071162715,-102.295866042726,2025-04-01,19.01,27.59,0.0
91,1001,21.8114071162715,-102.295866042726,2025-04-02,18.32,29.67,0.0
92,1001,21.8114071162715,-102.295866042726,2025-04-03,17.76,29.39,0.0
93,1001,21.8114071162715,-102.295866042726,2025-04-04,17.12,35.08,0.0
94,1001,21.8114071162715,-102.295866042726,2025-04-05,16.75,50.09,0.0
95,1001,21.8114071162715,-102.295866042726,2025-04-06,17.19,34.82,0.0
96,1001,21.8114071162715,-102.295866042726,2025-04-07,14.58,28.79,0.0
97,1001,21.8114071162715,-102.295866042726,2025-04-08,14.39,34.46,0.0
98,1001,21.8114071162715,-102.295866042726,2025-04-09,17.17,28.61,0.0
99,1001,21.8114071162715,-102.295866042726,2025-04-10,17.39,23.76,0.0
100,1001,21.8114071162715,-102.295866042726,2025-04-11,17.41,23.0,0.0
101,1001,21.8114071162715,-102.295866042726,2025-04-12,17.09,26.55,0.0
102,1001,21.8114071162715,-102.295866042726,2025-04-13,18.3,23.99,0.0
103,1001,21.8114071162715,-102.295866042726,2025-04-14,18.97,23.09,0.0
104,1001,21.8114071162715,-102.295866042726,2025-04-15,19.07,24.57,0.0
105,1001,21.8114071162715,-102.295866042726,2025-04-16,18.15,38.05,0.0
106,1001,21.8114071162715,-102.295866042726,2025-04-17,21.08,29.75,0.0
107,1001,21.8114071162715,-102.295866042726,2025-04-18,21.14,34.94,0.0
108,1001,21.8114071162715,-102.295866042726,2025-04-19,20.55,35.37,0.0
109,1001,21.8114071162715,-102.295866042726,2025-04-20,20.05,30.04,0.0
110,1001,21.8114071162715,-102.295866042726,2025-04-21,20.15,30.18,0.0
111,1001,21.8114071162715,-102.295866042726,2025-04-22,19.42,26.63,0.0
112,1001,21.8114071162715,-102.295866042726,2025-04-23,19.55,17.85,0.0
113,1001,21.8114071162715,-102.295866042726,2025-04-24,19.41,18.03,0.0
114,1001,21.8114071162715,-102.295866042726,2025-04-25,21.59,17.14,0.0
115,1001,21.8114071162715,-102.295866042726,2025-04-26,22.06,43.68,0.16
116,1001,21.8114071162715,-102.295866042726,2025-04-27,22.73,36.09,0.02
117,1001,21.8114071162715,-102.295866042726,2025-04-28,23.64,26.0,0.01
118,1001,21.8114071162715,-102.295866042726,2025-04-29,23.25,28.21,0.0
119,1001,21.8114071162715,-102.295866042726,2025-04-30,22.1,32.77,0.0
120,1001,21.8114071162715,-102.295866042726,2025-05-01,20.65,28.95,0.0
121,1001,21.8114071162715,-102.295866042726,2025-05-02,20.77,23.72,0.0
122,1001,21.8114071162715,-102.295866042726,2025-05-03,20.91,29.77,0.0
123,1001,21.8114071162715,-102.295866042726,2025-05-04,21.41,27.52,0.0
124,1001,21.8114071162715,-102.295866042726,2025-05-05,20.5,25.86,0.0
125,1001,21.8114071162715,-102.295866042726,2025-05-06,20.24,30.23,0.0
126,1001,21.8114071162715,-102.295866042726,2025-05-07,20.8,27.39,0.0
127,1001,21.8114071162715,-102.295866042726,2025-05-08,22.22,23.69,0.0
128,1001,21.8114071162715,-102.295866042726,2025-05-09,21.45,29.95,0.0
129,1001,21.8114071162715,-102.295866042726,2025-05-10,20.82,42.69,0.0
130,1001,21.8114071162715,-102.295866042726,2025-05-11,20.13,34.54,0.0
131,1001,21.8114071162715,-102.295866042726,2025-05-12,21.62,34.86,0.0
132,1001,21.8114071162715,-102.295866042726,2025-05-13,22.15,27.15,0.0
133,1001,21.8114071162715,-102.295866042726,2025-05-14,22.73,22.86,0.0
134,1001,21.8114071162715,-102.295866042726,2025-05-15,23.72,22.48,0.0
135,1001,21.8114071162715,-102.295866042726,2025-05-16,24.83,24.37,0.0
136,1001,21.8114071162715,-102.295866042726,2025-05-17,24.43,33.56,0.0
137,1001,21.8114071162715,-102.295866042726,2025-05-18,24.21,35.79,0.19
138,1001,21.8114071162715,-102.295866042726,2025-05-19,23.57,37.64,0.0
139,1001,21.8114071162715,-102.295866042726,2025-05-20,24.2,27.87,0.59
140,1001,21.8114071162715,-102.295866042726,2025-05-21,24.1,50.53,6.06
141,1001,21.8114071162715,-102.295866042726,2025-05-22,23.73,50.39,2.15
142,1001,21.8114071162715,-102.295866042726,2025-05-23,21.74,54.12,2.3
143,1001,21.8114071162715,-102.295866042726,2025-05-24,22.9,49.03,0.63
144,1001,21.8114071162715,-102.295866042726,2025-05-25,23.62,44.86,0.83
145,1001,21.8114071162715,-102.295866042726,2025-05-26,22.94,43.01,0.82
146,1001,21.8114071162715,-102.295866042726,2025-05-27,23.26,40.2,0.0
