,identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
0,3009,25.9523739243423,-111.447739782712,2025-01-01,19.17,66.98,0.0
1,3009,25.9523739243423,-111.447739782712,2025-01-02,19.33,60.78,0.0
2,3009,25.9523739243423,-111.447739782712,2025-01-03,20.84,46.61,0.0
3,3009,25.9523739243423,-111.447739782712,2025-01-04,19.96,47.95,0.0
4,3009,25.9523739243423,-111.447739782712,2025-01-05,18.13,70.03,0.0
5,3009,25.9523739243423,-111.447739782712,2025-01-06,19.36,57.8,0.0
6,3009,25.9523739243423,-111.447739782712,2025-01-07,18.36,60.86,0.01
7,3009,25.9523739243423,-111.447739782712,2025-01-08,17.64,63.6,0.31
8,3009,25.9523739243423,-111.447739782712,2025-01-09,17.71,52.68,0.21
9,3009,25.9523739243423,-111.447739782712,2025-01-10,16.12,54.39,0.0
10,3009,25.9523739243423,-111.447739782712,2025-01-11,16.35,52.44,0.0
11,3009,25.9523739243423,-111.447739782712,2025-01-12,16.6,66.24,0.0
12,3009,25.9523739243423,-111.447739782712,2025-01-13,16.0,59.94,0.0
13,3009,25.9523739243423,-111.447739782712,2025-01-14,16.09,57.4,0.0
14,3009,25.9523739243423,-111.447739782712,2025-01-15,16.66,50.79,0.0
15,3009,25.9523739243423,-111.447739782712,2025-01-16,16.93,56.04,0.0
16,3009,25.9523739243423,-111.447739782712,2025-01-17,17.02,64.65,0.0
17,3009,25.9523739243423,-111.447739782712,2025-01-18,16.35,67.12,0.0
18,3009,25.9523739243423,-111.447739782712,2025-01-19,17.07,63.75,0.0
19,3009,25.9523739243423,-111.447739782712,2025-01-20,17.78,61.19,0.0
20,3009,25.9523739243423,-111.447739782712,2025-01-21,16.36,62.68,0.0
21,3009,25.9523739243423,-111.447739782712,2025-01-22,16.33,65.18,0.0
22,3009,25.9523739243423,-111.447739782712,2025-01-23,17.06,62.2,0.0
23,3009,25.9523739243423,-111.447739782712,2025-01-24,17.25,58.17,0.0
24,3009,25.9523739243423,-111.447739782712,2025-01-25,18.0,58.7,0.0
25,3009,25.9523739243423,-111.447739782712,2025-01-26,18.17,76.7,0.0
26,3009,25.9523739243423,-111.447739782712,2025-01-27,16.75,72.42,0.0
27,3009,25.9523739243423,-111.447739782712,2025-01-28,16.17,59.15,0.0
28,3009,25.9523739243423,-111.447739782712,2025-01-29,15.18,65.22,0.0
29,3009,25.9523739243423,-111.447739782712,2025-01-30,15.08,66.72,0.0
30,3009,25.9523739243423,-111.447739782712,2025-01-31,15.86,64.76,0.0
31,3009,25.9523739243423,-111.447739782712,2025-02-01,16.6,66.56,0.0
32,3009,25.9523739243423,-111.447739782712,2025-02-02,18.83,49.52,0.0
33,3009,25.9523739243423,-111.447739782712,2025-02-03,20.89,37.92,0.0
34,3009,25.9523739243423,-111.447739782712,2025-02-04,18.72,57.82,0.0
35,3009,25.9523739243423,-111.447739782712,2025-02-05,18.47,62.54,0.0
36,3009,25.9523739243423,-111.447739782712,2025-02-06,19.81,54.66,0.0
37,3009,25.9523739243423,-111.447739782712,2025-02-07,19.73,53.72,0.0
38,3009,25.9523739243423,-111.447739782712,2025-02-08,20.18,53.43,0.0
39,3009,25.9523739243423,-111.447739782712,2025-02-09,19.98,57.36,0.0
40,3009,25.9523739243423,-111.447739782712,2025-02-10,20.24,58.57,0.0
41,3009,25.9523739243423,-111.447739782712,2025-02-11,19.56,57.93,0.0
42,3009,25.9523739243423,-111.447739782712,2025-02-12,16.7,59.9,0.0
43,3009,25.9523739243423,-111.447739782712,2025-02-13,18.53,59.87,0.0
44,3009,25.9523739243423,-111.447739782712,2025-02-14,18.93,62.48,0.0
45,3009,25.9523739243423,-111.447739782712,2025-02-15,18.22,63.04,0.0
46,3009,25.9523739243423,-111.447739782712,2025-02-16,18.4,62.94,0.0
47,3009,25.9523739243423,-111.447739782712,2025-02-17,20.04,45.22,0.0
48,3009,25.9523739243423,-111.447739782712,2025-02-18,19.54,56.62,0.0
