,identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
0,4003,18.523747092002,-91.4828233393199,2025-01-01,26.04,81.05,4.02
1,4003,18.523747092002,-91.4828233393199,2025-01-02,24.25,86.83,3.88
2,4003,18.523747092002,-91.4828233393199,2025-01-03,25.0,77.79,1.18
3,4003,18.523747092002,-91.4828233393199,2025-01-04,24.35,71.31,0.04
4,4003,18.523747092002,-91.4828233393199,2025-01-05,24.02,76.86,0.0
5,4003,18.523747092002,-91.4828233393199,2025-01-06,25.54,79.15,0.27
6,4003,18.523747092002,-91.4828233393199,2025-01-07,25.38,78.73,0.76
7,4003,18.523747092002,-91.4828233393199,2025-01-08,25.02,71.55,0.09
8,4003,18.523747092002,-91.4828233393199,2025-01-09,24.56,70.53,0.02
9,4003,18.523747092002,-91.4828233393199,2025-01-10,25.56,75.6,0.21
10,4003,18.523747092002,-91.4828233393199,2025-01-11,24.08,85.33,9.77
11,4003,18.523747092002,-91.4828233393199,2025-01-12,25.08,76.48,0.26
12,4003,18.523747092002,-91.4828233393199,2025-01-13,26.1,80.29,3.9
13,4003,18.523747092002,-91.4828233393199,2025-01-14,26.48,78.6,5.82
14,4003,18.523747092002,-91.4828233393199,2025-01-15,26.17,76.42,1.48
15,4003,18.523747092002,-91.4828233393199,2025-01-16,25.4,77.72,0.95
16,4003,18.523747092002,-91.4828233393199,2025-01-17,25.86,74.11,0.21
17,4003,18.523747092002,-91.4828233393199,2025-01-18,25.47,71.98,0.01
18,4003,18.523747092002,-91.4828233393199,2025-01-19,25.39,79.08,0.37
19,4003,18.523747092002,-91.4828233393199,2025-01-20,25.63,76.93,0.56
20,4003,18.523747092002,-91.4828233393199,2025-01-21,25.41,79.77,3.7
21,4003,18.523747092002,-91.4828233393199,2025-01-22,21.5,78.34,5.15
22,4003,18.523747092002,-91.4828233393199,2025-01-23,22.42,74.19,0.28
23,4003,18.523747092002,-91.4828233393199,2025-01-24,22.84,75.58,1.33
24,4003,18.523747092002,-91.4828233393199,2025-01-25,23.36,69.22,0.03
25,4003,18.523747092002,-91.4828233393199,2025-01-26,23.09,71.87,0.0
26,4003,18.523747092002,-91.4828233393199,2025-01-27,24.55,77.06,1.67
27,4003,18.523747092002,-91.4828233393199,2025-01-28,25.9,77.53,0.66
28,4003,18.523747092002,-91.4828233393199,2025-01-29,26.71,72.46,0.16
29,4003,18.523747092002,-91.4828233393199,2025-01-30,27.66,72.54,0.01
30,4003,18.523747092002,-91.4828233393199,2025-01-31,27.71,77.17,1.34
31,4003,18.523747092002,-91.4828233393199,2025-02-01,27.13,79.17,5.4
32,4003,18.523747092002,-91.4828233393199,2025-02-02,26.19,79.04,5.41
33,4003,18.523747092002,-91.4828233393199,2025-02-03,26.18,75.75,1.08
34,4003,18.523747092002,-91.4828233393199,2025-02-04,26.56,71.65,0.08
35,4003,18.523747092002,-91.4828233393199,2025-02-05,26.49,74.47,0.99
36,4003,18.523747092002,-91.4828233393199,2025-02-06,27.27,71.4,0.12
37,4003,18.523747092002,-91.4828233393199,2025-02-07,27.03,67.07,0.01
38,4003,18.523747092002,-91.4828233393199,2025-02-08,26.62,68.7,0.0
