,identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
0,5002,29.4331123836046,-102.01010161812,2025-01-01,10.82,46.28,0.0
1,5002,29.4331123836046,-102.01010161812,2025-01-02,13.53,47.46,0.0
2,5002,29.4331123836046,-102.01010161812,2025-01-03,14.29,47.85,0.0
3,5002,29.4331123836046,-102.01010161812,2025-01-04,18.43,53.4,0.0
4,5002,29.4331123836046,-102.01010161812,2025-01-05,13.96,23.39,0.0
5,5002,29.4331123836046,-102.01010161812,2025-01-06,3.36,35.33,0.0
6,5002,29.4331123836046,-102.01010161812,2025-01-07,2.92,38.41,0.0
7,5002,29.4331123836046,-102.01010161812,2025-01-08,1.6,43.54,0.0
8,5002,29.4331123836046,-102.01010161812,2025-01-09,3.21,65.77,4.03
9,5002,29.4331123836046,-102.01010161812,2025-01-10,2.42,51.79,0.12
10,5002,29.4331123836046,-102.01010161812,2025-01-11,6.0,31.95,0.0
11,5002,29.4331123836046,-102.01010161812,2025-01-12,6.91,46.85,0.0
12,5002,29.4331123836046,-102.01010161812,2025-01-13,6.76,57.18,0.0
13,5002,29.4331123836046,-102.01010161812,2025-01-14,7.96,53.82,0.0
14,5002,29.4331123836046,-102.01010161812,2025-01-15,9.1,55.39,0.0
15,5002,29.4331123836046,-102.01010161812,2025-01-16,12.8,50.87,0.0
16,5002,29.4331123836046,-102.01010161812,2025-01-17,16.25,36.96,0.0
17,5002,29.4331123836046,-102.01010161812,2025-01-18,12.87,28.72,0.0
18,5002,29.4331123836046,-102.01010161812,2025-01-19,0.81,38.46,0.0
19,5002,29.4331123836046,-102.01010161812,2025-01-20,0.62,42.94,0.0
20,5002,29.4331123836046,-102.01010161812,2025-01-21,-1.99,38.96,0.01
21,5002,29.4331123836046,-102.01010161812,2025-01-22,5.81,26.91,0.03
22,5002,29.4331123836046,-102.01010161812,2025-01-23,2.79,39.48,0.0
23,5002,29.4331123836046,-102.01010161812,2025-01-24,6.23,26.44,0.0
24,5002,29.4331123836046,-102.01010161812,2025-01-25,11.09,31.31,0.0
25,5002,29.4331123836046,-102.01010161812,2025-01-26,9.33,61.15,0.0
26,5002,29.4331123836046,-102.01010161812,2025-01-27,9.58,71.15,0.0
27,5002,29.4331123836046,-102.01010161812,2025-01-28,11.74,76.02,0.13
28,5002,29.4331123836046,-102.01010161812,2025-01-29,14.74,50.62,0.44
29,5002,29.4331123836046,-102.01010161812,2025-01-30,11.51,29.1,0.0
30,5002,29.4331123836046,-102.01010161812,2025-01-31,13.49,24.64,0.89
31,5002,29.4331123836046,-102.01010161812,2025-02-01,15.5,19.33,0.0
32,5002,29.4331123836046,-102.01010161812,2025-02-02,18.47,17.22,0.0
33,5002,29.4331123836046,-102.01010161812,2025-02-03,20.68,14.86,0.0
34,5002,29.4331123836046,-102.01010161812,2025-02-04,21.38,39.54,0.0
35,5002,29.4331123836046,-102.01010161812,2025-02-05,21.38,58.36,0.0
36,5002,29.4331123836046,-102.01010161812,2025-02-06,22.78,35.99,0.0
37,5002,29.4331123836046,-102.01010161812,2025-02-07,24.13,27.79,0.0
38,5002,29.4331123836046,-102.01010161812,2025-02-08,24.99,25.02,0.0
39,5002,29.4331123836046,-102.01010161812,2025-02-09,19.8,44.74,0.0
40,5002,29.4331123836046,-102.01010161812,2025-02-10,19.17,62.48,0.05
41,5002,29.4331123836046,-102.01010161812,2025-02-11,20.23,54.17,0.04
42,5002,29.4331123836046,-102.01010161812,2025-02-12,17.87,31.14,0.0
43,5002,29.4331123836046,-102.01010161812,2025-02-13,7.95,47.91,0.0
44,5002,29.4331123836046,-102.01010161812,2025-02-14,14.88,35.99,0.0
45,5002,29.4331123836046,-102.01010161812,2025-02-15,16.99,22.04,0.04
46,5002,29.4331123836046,-102.01010161812,2025-02-16,9.84,35.38,0.0
47,5002,29.4331123836046,-102.01010161812,2025-02-17,14.53,35.8,0.0
48,5002,29.4331123836046,-102.01010161812,2025-02-18,16.1,27.55,0.0
49,5002,29.4331123836046,-102.01010161812,2025-02-19,-0.44,46.26,0.04
50,5002,29.4331123836046,-102.01010161812,2025-02-20,-0.46,44.7,0.0
51,5002,29.4331123836046,-102.01010161812,2025-02-21,3.16,49.04,0.0
52,5002,29.4331123836046,-102.01010161812,2025-02-22,5.05,62.65,0.13
53,5002,29.4331123836046,-102.01010161812,2025-02-23,14.27,29.16,0.0
54,5002,29.4331123836046,-102.01010161812,2025-02-24,18.18,11.34,0.0
55,5002,29.4331123836046,-102.01010161812,2025-02-25,21.28,9.76,0.0
56,5002,29.4331123836046,-102.01010161812,2025-02-26,20.02,22.6,0.0
57,5002,29.4331123836046,-102.01010161812,2025-02-27,13.72,41.26,0.0
58,5002,29.4331123836046,-102.01010161812,2025-02-28,17.31,38.62,0.0
59,5002,29.4331123836046,-102.01010161812,2025-03-01,20.76,47.69,0.0
60,5002,29.4331123836046,-102.01010161812,2025-03-02,22.11,33.91,0.0
61,5002,29.4331123836046,-102.01010161812,2025-03-03,22.77,19.25,0.02
62,5002,29.4331123836046,-102.01010161812,2025-03-04,17.08,15.24,0.0
63,5002,29.4331123836046,-102.01010161812,2025-03-05,15.55,21.8,0.17
64,5002,29.4331123836046,-102.01010161812,2025-03-06,21.52,21.99,0.0
65,5002,29.4331123836046,-102.01010161812,2025-03-07,23.04,18.2,0.0
66,5002,29.4331123836046,-102.01010161812,2025-03-08,16.81,19.05,0.0
67,5002,29.4331123836046,-102.01010161812,2025-03-09,12.25,37.87,0.0
68,5002,29.4331123836046,-102.01010161812,2025-03-10,16.61,20.22,0.0
69,5002,29.4331123836046,-102.01010161812,2025-03-11,20.72,12.4,0.0
70,5002,29.4331123836046,-102.01010161812,2025-03-12,21.22,13.7,0.0
71,5002,29.4331123836046,-102.01010161812,2025-03-13,22.81,15.79,0.0
72,5002,29.4331123836046,-102.01010161812,2025-03-14,20.93,20.5,0.0
73,5002,29.4331123836046,-102.01010161812,2025-03-15,15.47,23.17,0.01
74,5002,29.4331123836046,-102.01010161812,2025-03-16,16.33,18.0,0.05
75,5002,29.4331123836046,-102.01010161812,2025-03-17,20.73,13.14,0.0
76,5002,29.4331123836046,-102.01010161812,2025-03-18,24.21,15.29,0.0
