"","CVEGEO","x","y"
"1","01001",-102.295866042726,21.8114071162715
"2","01002",-102.045593462831,22.1264826934693
"3","01003",-102.704910795999,21.9006481806386
"4","01004",-102.29703802669,22.3606195140392
"5","01005",-102.445696235115,21.932114369324
"6","01006",-102.301691122756,22.1045442097892
"7","01007",-102.340726814538,22.2673954021515
"8","01008",-102.525829393095,22.1466023286373
"9","01009",-102.192132384169,22.2369597580442
"10","01010",-102.035422103462,21.9215128448456
"11","01011",-102.229027999505,22.0330664224314
"12","02001",-114.935615036116,30.0258836867939
"13","02002",-115.159150370946,31.7363121238093
"14","02003",-116.290095385072,32.4355682171076
"15","02004",-116.847924483365,32.4128136635438
"16","02005",-116.890610266759,32.2529131463931
"17","03001",-111.818222164671,25.4889179824423
"18","03002",-113.227676462763,27.2866577903663
"19","03003",-110.660798977376,24.1898230958241
"20","03008",-109.753472435686,23.2764206906794
"21","03009",-111.447739782712,25.9523739243423
"22","04001",-90.2172169076023,20.3837958945576
"23","04002",-90.2674600512456,19.6169136841391
"24","04003",-91.4828233393199,18.523747092002
"25","04004",-90.4993299709104,19.1341323448753
"26","04005",-90.135307326244,20.1244724543268
"27","04006",-89.6092084088793,19.4736653981556
"28","04007",-91.9737752898172,18.2734892150359
"29","04008",-90.2328902387815,19.9696306213474
"30","04009",-90.4744298439883,18.5506034151951
"31","04010",-89.6616420100542,18.4023291226096
"32","04011",-90.7165232837285,18.0990717371542
"33","05001",-101.245722896885,27.1224198342293
"34","05002",-102.01010161812,29.4331123836046
"35","05003",-100.916043734456,28.2783346809565
"36","05004",-100.642303247816,25.3413976301835
"37","05005",-100.799342484881,26.8523722974212
"38","05006",-101.386718562096,26.586155178471
"39","05007",-102.298499871706,26.69899102337
"40","05008",-101.279402361668,27.3060418041066
"41","05009",-103.180972478509,26.3196448471344
"42","05010",-101.528326637779,26.9476853980919
"43","05011",-101.550921216444,25.52154206873
"44","05012",-100.39375871342,28.0971538430807
"45","05013",-100.050486828975,27.8392704686666
"46","05014",-100.951236479492,29.0026402123647
"47","05015",-100.693305729699,27.6565547394664
"48","05016",-101.913686793367,27.1505336379636
"49","05017",-103.215051301548,25.5597691660444
"50","05018",-101.19435862745,26.8968799921417
"51","05019",-101.083438891488,28.3277829181354
"52","05020",-101.898830619961,28.4021946512561
"53","05021",-101.765170186313,27.2275708294936
"54","05022",-100.620526119609,28.4964203112385
"55","05023",-102.892264524064,27.9629415560726
"56","05024",-102.114277225439,25.503304123384
"57","05025",-100.614395764878,28.7797719326268
"58","05026",-101.021124210247,27.4214967338678
"59","05027",-101.281475478069,25.91361605063
"60","05028",-101.142936519459,27.9226227171611
"61","05029",-101.756484647696,26.939821751613
"62","05030",-101.125016405201,25.0288201074965
"63","05031",-101.967045539142,27.838926737956
"64","05032",-101.389648363015,28.0639112086344
"65","05033",-102.718264032523,26.0838133290319
"66","05034",-103.609433622446,27.4793167174218
"67","05035",-103.24849148204,25.1696559282812
"68","05036",-102.924796998154,25.2217246900716
"69","05037",-100.780323053475,28.0972745585494
"70","05038",-101.394300359259,28.8117938596289
"71","06001",-103.998427204947,19.0092216483607
"72","06002",-103.632624104588,19.1160673357419
"73","06003",-103.770010750874,19.3934404430792
